年初	US	ISO	曜日(JS)	年末	US	ISO	曜日(JS)
2000/1/1	1	52	6	2000/12/31	54	52	0
2001/1/1	1	1	1	2001/12/31	53	1	1
2002/1/1	1	1	2	2002/12/31	53	1	2
2003/1/1	1	1	3	2003/12/31	53	1	3
2004/1/1	1	1	4	2004/12/31	53	53	5
2005/1/1	1	53	6	2005/12/31	53	52	6
2006/1/1	1	52	0	2006/12/31	53	52	0
2007/1/1	1	1	1	2007/12/31	53	1	1
2008/1/1	1	1	2	2008/12/31	53	1	3
2009/1/1	1	1	4	2009/12/31	53	53	4
2010/1/1	1	53	5	2010/12/31	53	52	5
2011/1/1	1	52	6	2011/12/31	53	52	6
2012/1/1	1	52	0	2012/12/31	53	1	1
2013/1/1	1	1	2	2013/12/31	53	1	2
2014/1/1	1	1	3	2014/12/31	53	1	3
2015/1/1	1	1	4	2015/12/31	53	53	4
2016/1/1	1	53	5	2016/12/31	53	52	6
2017/1/1	1	52	0	2017/12/31	53	52	0
2018/1/1	1	1	1	2018/12/31	53	1	1
2019/1/1	1	1	2	2019/12/31	53	1	2
2020/1/1	1	1	3	2020/12/31	53	53	4
2021/1/1	1	53	5	2021/12/31	53	52	5
2022/1/1	1	52	6	2022/12/31	53	52	6
2023/1/1	1	52	0	2023/12/31	53	52	0
2024/1/1	1	1	1	2024/12/31	53	1	2
2025/1/1	1	1	3	2025/12/31	53	1	3
2026/1/1	1	1	4	2026/12/31	53	53	4
2027/1/1	1	53	5	2027/12/31	53	52	5
2028/1/1	1	52	6	2028/12/31	54	52	0
2029/1/1	1	1	1	2029/12/31	53	1	1
2030/1/1	1	1	2	2030/12/31	53	1	2
2031/1/1	1	1	3	2031/12/31	53	1	3
2032/1/1	1	1	4	2032/12/31	53	53	5
2033/1/1	1	53	6	2033/12/31	53	52	6
2034/1/1	1	52	0	2034/12/31	53	52	0
2035/1/1	1	1	1	2035/12/31	53	1	1
2036/1/1	1	1	2	2036/12/31	53	1	3
2037/1/1	1	1	4	2037/12/31	53	53	4
2038/1/1	1	53	5	2038/12/31	53	52	5
2039/1/1	1	52	6	2039/12/31	53	52	6
2040/1/1	1	52	0	2040/12/31	53	1	1
2041/1/1	1	1	2	2041/12/31	53	1	2
2042/1/1	1	1	3	2042/12/31	53	1	3
2043/1/1	1	1	4	2043/12/31	53	53	4
2044/1/1	1	53	5	2044/12/31	53	52	6
2045/1/1	1	52	0	2045/12/31	53	52	0
2046/1/1	1	1	1	2046/12/31	53	1	1
2047/1/1	1	1	2	2047/12/31	53	1	2
2048/1/1	1	1	3	2048/12/31	53	53	4
2049/1/1	1	53	5	2049/12/31	53	52	5
2050/1/1	1	52	6	2050/12/31	53	52	6
